"Alternative","Text","Words","Sentences","Avg_Sentence_Length","Avg_Word_Length","Flesch_Score","Readability_Category","Cognitive_Load_Score","Flesch_Difference","Word_Difference","Cognitive_Load_Difference","Balance_Score"
5,"We value diversity in all forms. We welcome all people with care and fairness. We respect all cultures and backgrounds. We show kindness in all we do.",31,4,4,4,80.9,"Easy",8.5,2.9,10,1.4,27
6,"We support diversity in all forms. We welcome all people with care and fairness. We respect all cultures and backgrounds. We show kindness in all we do.",31,4,4,4.1,80.9,"Easy",8.5,2.9,10,1.4,27
3,"We are driven by fair values that welcome all people in all we do, reflecting care, fairness, and kindness. We celebrate diversity in all forms. We strive to respect all people and cultures.",39,3,3,4.1,70.1,"Fairly Easy",11.4,13.8,2,4.2,30.4
13,"We welcome all people with care and fairness. We celebrate diversity in all forms. We respect all cultures and backgrounds. We show kindness in all we do.",31,4,4,4.1,77.8,"Fairly Easy",9.5,6,10,2.3,33
14,"We welcome all people with kindness and fairness. We celebrate diversity in all forms. We respect all cultures and backgrounds. We show care in all we do.",31,4,4,4.1,77.8,"Fairly Easy",9.5,6,10,2.3,33
15,"We welcome all people with fairness and care. We celebrate diversity in all forms. We respect all cultures and backgrounds. We show kindness in all we do.",31,4,4,4.1,77.8,"Fairly Easy",9.5,6,10,2.3,33
25,"We welcome all people with care and fairness. We celebrate diversity in all forms. We respect all cultures and backgrounds. We show kindness in all we do.",31,4,4,4.1,77.8,"Fairly Easy",9.5,6,10,2.3,33
26,"We welcome all people with kindness and fairness. We celebrate diversity in all forms. We respect all cultures and backgrounds. We show care in all we do.",31,4,4,4.1,77.8,"Fairly Easy",9.5,6,10,2.3,33
27,"We welcome all people with fairness and care. We celebrate diversity in all forms. We respect all cultures and backgrounds. We show kindness in all we do.",31,4,4,4.1,77.8,"Fairly Easy",9.5,6,10,2.3,33
11,"We are driven by kind values that welcome all people in all we do, reflecting fairness and care. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.1,71.8,"Fairly Easy",10.9,12.1,5,3.7,33.3
12,"We are driven by fair values that welcome all people in all we do, reflecting kindness and care. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.1,71.8,"Fairly Easy",10.9,12.1,5,3.7,33.3
20,"We are driven by kind values that welcome all people in all we do, reflecting fairness and care. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.1,71.8,"Fairly Easy",10.9,12.1,5,3.7,33.3
21,"We are driven by fair values that welcome all people in all we do, reflecting kindness and care. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.1,71.8,"Fairly Easy",10.9,12.1,5,3.7,33.3
24,"We are driven by kind values that welcome all people in all we do, reflecting care and fairness. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.1,71.8,"Fairly Easy",10.9,12.1,5,3.7,33.3
2,"We are driven by open values that welcome all people in all we do, reflecting care, fairness, and kindness. We celebrate diversity in all forms. We strive to respect all people and cultures.",39,3,3,4.1,67.5,"Standard",12.2,16.3,2,5,35.3
22,"We are driven by open values that welcome all people in all we do, reflecting care and fairness. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.1,69.1,"Standard",11.7,14.7,5,4.5,38.3
4,"We celebrate diversity in all forms. We welcome all people with care and fairness. We respect all cultures and backgrounds. We value kindness in all we do.",31,4,4,4.2,74.7,"Fairly Easy",10.5,9.2,10,3.3,39
1,"We are driven by inclusive values that welcome all people in all we do, reflecting care, fairness, and kindness. We celebrate diversity in all forms. We strive to respect all people and cultures.",39,3,3,4.2,64.9,"Standard",13,18.9,2,5.8,40.3
10,"We are driven by caring values that welcome all people in all we do, reflecting fairness and kindness. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.3,66.5,"Standard",12.5,17.3,5,5.4,43.5
19,"We are driven by caring values that welcome all people in all we do, reflecting fairness and kindness. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.3,66.5,"Standard",12.5,17.3,5,5.4,43.5
23,"We are driven by caring values that welcome all people in all we do, reflecting kindness and fairness. We celebrate diversity in all forms. We strive to respect all people and cultures.",36,3,3,4.3,66.5,"Standard",12.5,17.3,5,5.4,43.5
17,"We welcome all people. We celebrate diversity. We respect all cultures. We show care in all we do.",22,4,4,3.7,75.4,"Fairly Easy",10.1,8.4,19,2.9,55.2
29,"We welcome all people. We celebrate diversity. We respect all cultures. We show care in all we do.",22,4,4,3.7,75.4,"Fairly Easy",10.1,8.4,19,2.9,55.2
16,"We welcome all people. We celebrate diversity. We respect all cultures. We show kindness in all we do.",22,4,4,3.9,70.7,"Fairly Easy",11.6,13.1,19,4.4,64.3
18,"We welcome all people. We celebrate diversity. We respect all cultures. We show fairness in all we do.",22,4,4,3.9,70.7,"Fairly Easy",11.6,13.1,19,4.4,64.3
28,"We welcome all people. We celebrate diversity. We respect all cultures. We show kindness in all we do.",22,4,4,3.9,70.7,"Fairly Easy",11.6,13.1,19,4.4,64.3
30,"We welcome all people. We celebrate diversity. We respect all cultures. We show fairness in all we do.",22,4,4,3.9,70.7,"Fairly Easy",11.6,13.1,19,4.4,64.3
7,"We are driven by fair values that welcome all people, reflecting care and kindness. We celebrate diversity. We respect all people and cultures.",27,3,3,4.5,59.3,"Fairly Difficult",14.8,24.5,14,7.6,75.3
9,"We are driven by kind values that welcome all people, reflecting care and fairness. We celebrate diversity. We respect all people and cultures.",27,3,3,4.5,59.3,"Fairly Difficult",14.8,24.5,14,7.6,75.3
8,"We are driven by open values that welcome all people, reflecting care and kindness. We celebrate diversity. We respect all people and cultures.",27,3,3,4.5,55.6,"Fairly Difficult",15.9,28.2,14,8.7,82.3
